path_name,path_idx,tail_idx,loaded_count
"doom_gif/doom_0045.png",5,15,5
"doom_gif/doom_0046.png",6,16,6
"doom_gif/doom_0047.png",7,17,7
"doom_gif/doom_0048.png",8,18,8
"doom_gif/doom_0049.png",9,19,9
"doom_gif/doom_0050.png",10,0,10
"doom_gif/doom_0051.png",11,1,11
"doom_gif/doom_0052.png",12,2,12
"doom_gif/doom_0053.png",13,3,13
"doom_gif/doom_0054.png",14,4,14
"doom_gif/doom_0055.png",15,5,15
"doom_gif/doom_0056.png",16,6,16
"doom_gif/doom_0057.png",17,7,17
"doom_gif/doom_0058.png",18,8,18
"doom_gif/doom_0059.png",19,9,19
"doom_gif/doom_0060.png",20,10,20
"doom_gif/doom_0061.png",21,11,21
"doom_gif/doom_0062.png",22,12,22
"doom_gif/doom_0063.png",23,13,23
"doom_gif/doom_0064.png",24,14,24
"doom_gif/doom_0065.png",25,15,25
"doom_gif/doom_0066.png",26,16,26
"doom_gif/doom_0067.png",27,17,27
"doom_gif/doom_0068.png",28,18,28
